link,name,price,avg_rating,number_of_ratings,description,keywords
https://www.airbnb.com/experiences/1236643?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=0eaf44d1-67a1-4ffa-a17c-358a50807443&searchId=8e18fa11-fbce-42f3-bc6f-b64337a542cf&sectionId=932113b9-fd5f-453b-b031-3805bc80ca47,Private Yacht Charter NYC Skyline,"2,2",5.0,2,"Enjoy a Luxury Yacht Tour around Manhattan. This intimate experience is available for 6 passengers and can be customized to your needs. Relax as we depart the historic Englewood Boat Basin nestled in the picturesque Palisades on the Hudson. As we head south we pass the Cloisters and the  George Washington Bridge. Beneath the bridge we see the  small Red  Lighthouse from the children's book The Little Red Lighthouse and the Great Grey Bridge by Hildegarde Swift.  As we continue south the NYC Skyline stands so close with views only available to those lucky enough to be on their private yacht for the day. On to the Lady in the Harbor where we can stop to get the most amazing photos of the Statue of Liberty!! (#selfiewiththestatue)  From there the views of lower Manhattan and  One World Trade Center are unrivaled. As we turn to the East River and pass Governors Island we will pass directly under the Brooklyn Bridge and Dumbo to the right. Enjoy prearranged lunch and soft drinks as we meander past the United Nations. As we travel through the Harlem River past Yankee Stadium the historic bridges and the Big C on the Cliff, we arrive back where we started with an incredible view of the Palisades. Enjoy this 4 hour experience , take in the sights and relax. Optional start times and duration available.  Other things to note  Proper footwear please. Dress according to current weather conditions.",luxury yacht tour ; luxury yacht tour ; upper manhattan ; englewood boat basin ; one world trade center ; dumbo ; united nations ;
https://www.airbnb.com/experiences/4560533?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Private NewYorkCity Helicopter Tour from Westchester for Two,798,5.0,1,"Take your significant other on a once-in-a-lifetime adventure over New York City! Your private helicopter will whisk you from Westchester County Airport to Manhattan and back at sunset, day or night. Dazzle your guest with unforgettable aerial views of the iconic Manhattan skyline from above while cozying up to one another.    Helicopters lift off from Westchester County Airport and reach NYC airspace in just a few minutes. On a 30-minute helicopter tour our skilled pilots will dazzle you with birdâs-eye views of Midtown Manhattan, Central Park, Empire State Building, Harlem, Yankee Stadium and the George Washington Bridge. (The 30-minute tour does not reach Lower Manhattan/Statue of Liberty area. Contact tour operator for upgrades.)    Tours are offered daily between 10:00 AM and 8:30 PM (except on Thanksgiving Day, Christmas Day and New Year's Day). PLEASE INQUIRE ABOUT TIME SLOTS NOT LISTED.    Maximum weight 250 lbs (113 kg) per person and 500 lbs (226 kg) combined in R44 helicopter.    Tours are subject to favorable weather conditions and helicopter maintenance; if canceled due to these reasons, you will be given the option of an alternative date or full refund.",private helicopter will whisk you from westchester county airport to new york city ; sunset ; day or night ; midtown Manhattan ; central park ; empire state building ;
https://www.airbnb.com/experiences/4696077?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Play tennis in \nNew York whit beautiful views and places,51,5.0,2,"PLAY TENNIS IN THE CITY IS ONE OF THE BEST EXPERIENCE YOU CAN HAVE IF YOU ARE FAN OF THIS AMAZING SPORT, YOU WILL DISCOVER THE BEST TENNIS COURTS OF THE CITY TO PLAY LIKE  TENNIS CENTER AT BILLIE JEAN KING US OPEN, CENTRAL PARK, HUDSON RIVER ETC.  YOU WILL HAVE A FUN MOMENT OF HITTING OR COACHING SESSION WHIT A BEUTIFUL VIEW OF THE CITY AND I WILL GIVE YOU A MINI TOUR AROUND THE COURT PLACES TO SHOW YOU WHICH YOU WILL LOVE IT.  NO MATTER WHAT LEVEL YOU ARE AND YOU DECIDE WHAT PLACE WOULD YOU LIKE TO PLAY. I PROVIDE TENNIS RACQUETS AND BALLS.  COME TO HAVE FUN AND AT THE END OF THE GAME YOU WOULD LOVE TO COME AGAIN TO PLAY.",TENNIS CENTER ; CENTRAL PARK ; HUDSON RIVER ETC ; TENNIS RACQUETS ;
https://www.airbnb.com/experiences/3656164?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Picture The City,110,5.0,2,"ENHANCE YOUR PHOTOGRAPHY SKILLS WITH GUIDED WALKS ENJOYING NEW YORK CITY HIDDEN GEMS LED BY A PROFESSIONAL PHOTOGRAPHER AND TOUR GUIDE!    During this live hand-on workshop you will be taken on an unforgettable journey beyond-tourist-social media pics and capture the enigmatic energy that is The Greatest City in the world  with practical tips/tricks and take-aways that will make your photographic portfolio a permanent memory of your talent and vision.    I am a professional documentary photographer/photojournalist, instructor, and licensed tour guide. I will personally guide you to my favorite locations including the iconic architecture and insider places off the tour map. Through my photographic experience honed for years with international news services and magazines I will teach you techniques to improve your shot composition, How to tell a story, contrast effects  and what to look for. By the end of the workshop you will have compiled your own album of places and people that showcase your own artistry.  For first timers or veteran travelers  or any lover of New York City and the art of photography.     *Tours are available in ENGLISH and SPANISH*",philanthropy skeletons ; NEW york city hIDden gEMS ; tour GUIDE ; documentary photographer/photojournalist ; licensed tour guide ; iconic architecture
https://www.airbnb.com/experiences/579300?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Niagara Falls Tour from New York City,184,5.0,1,"We offer two Niagara Falls group tour options, each with its own breathtaking charms and unique experiences. A visa is NOT required for either option.   11:00 PM Departure  Tours that depart from NYC at 11:30 PM (23:30) will have the unique opportunity to experience the Falls in the early morning mist when the rainbows appear to dance off the cascading waters below. When you experience the solitude of the roaring Falls in the early morning hours, it is an experience that will fill your soul with memories to last a lifetime. The tou bus will arrive back in NYC at approximately 10:00 PM (22:00) the following day.  7:00 AM Departure  Visitors who choose the 7:00 AM departure will be able to experience the glory of the Falls from day to night, capped off by a multi-colored masterpiece of otherworldly illumination. As the light reflects off the Falls below, this natural wonder of the world will be brought to life with vibrant colors and majestic beauty.   Tours that depart at 7:00 AM may also have the opportunity to experience fireworks show you wonât see any other place on earth, with resounding booms, colorful bursts, and glittery sparkles raining down from the night sky directly over the Falls. ***seasonal  Experience the unbridled natural beauty of Niagara Falls, a magical place where reality is better than your imagination!",departure tours ; 7:00 am ; fireworks show ; unbridled natural beauty ; reality ; roaring falls ; early morning mist ; rainbows
https://www.airbnb.com/experiences/3166506?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,New York smoke shop tour,19,5.0,2,"Come with us and discover NYC's best cannabis shop of all different styles and explore NYC's cannabis culture and more.   From mom&pop shops to proper classy and high end boutiques.   Learn about the history of cannabis, the NYC cannabis culture, it's biology, growing methods, straines and much more from experts and the  shop owners in person.   We will also teach how to roll perfect joints and how to keep your cannabis fresh and get the best use and maintenance of your accessories.  We will also get to see some glass art works from professionals and renown glassblowers and some secret locations.  This experience includes CBD products without THC.  Goodies at the end of the experience included.   With three different tiers of admissions based on how many goodies you wish to receive.",cannabis shop ; mom&pop shops ; high end boutiques ; biology ; growing methods ; straines ; glass art works ; renown glassblowers ;
https://www.airbnb.com/experiences/4619112?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,New York City Running Tour - Two Bridges Experience,42,5.0,1,"It is time to cross \""Running over the Brooklyn Bridge\"" off your bucket list!! Join us to Sweat & Sightsee with a local runner to experience the the dramatic story of how the bridge was built and the great effect it had on the city and America.    This is 4 mile (approximately 7 km) tour sections lower Manhattan and the Dumbo section of Brooklyn, including not just the Brooklyn but also Manhattan Bridge as well.  There will be exciting stops along the route to interest all runners and will be paced to accommodate all running levels.     It is not always about what you see when you are in the city but more the feeling you get as explore at street level, making lasting memories through the stories you hear, the photos we take and our connection through running. You will walk away with a unique perspective of the city, and becasue you get your miles in...feeling like yourself.",barcelona bridge ; utah city ; dumbo section ; running levels ; street level ; walking distance
https://www.airbnb.com/experiences/661879?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Learn to make Donuts from Scratch,88,5.0,2,"In this class you will learn to make donuts from scratch. And learn how to make toppings, cook them, top them them and then devour them! You will be taking a class that is hands on. We teach in a way you will be able to do this at your own home.   All supplies are included. You will take home remaining donuts you make.    All children have to accompanied by an adult. So you have to purchase 1 adult booking for child or children.",class. teaches you how to make donuts ; toppings ; cook them ; devour them ; children ; adult booking
https://www.airbnb.com/experiences/4625130?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,"Indian Chicken Masala, Rice, Naan making class in Manhattan",115,5.0,1,"The class are small. I believe in a smaller teaching class to give you undivided attention. In this Indian cooking class you will learn to make homemade Chicken Masala using all Indian ingredients. You will also make homemade Naan bread. You will enjoy the history of Masala and Naan. You will follow a recipe and also be helped professionally by the baking & cooking chef. This is a hands on class. You will learn to mix the ingredients, kneed the dough and cook the Masala and Naan bread. You will also learn how to take the naan dough and add inclusive ingredients in the bread. Like Garlic, almonds, coconut or herbs. Your choice. After cooking your Chicken Masala and Naan, you will sot down and relax and enjoy the fruits of your labor.  Each person will take home a pile of naan bread and left overs they personally made.  After making your meal you will enjoy a cup of Chai homemade tea.",cooking class ; indian cooking class ; homemade chicken masaala ; naan bread ; inclusive ingredients ; chai homemade tea
https://www.airbnb.com/experiences/1597047?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=0eaf44d1-67a1-4ffa-a17c-358a50807443&searchId=8e18fa11-fbce-42f3-bc6f-b64337a542cf&sectionId=932113b9-fd5f-453b-b031-3805bc80ca47,EN FRANÃAIS SVP Grand Central Terminal,42,5.0,1,"Nous plongerons immÃ©diatement dans le vif du sujet. Vous irez au-delÃ  de ce que les touristes voient gÃ©nÃ©ralement Ã  Grand Central: coins secrets, artefacts bien cachÃ©s en plus de la perspective historique, et ce, toujours avec un petit cÃ´tÃ© humoristique. Vous dÃ©couvrirez l'architecture du bÃ¢timent, son histoire rocambolesque et les diffÃ©rents scÃ©narios et possibilitÃ©s pour le futur du quartier.  La visite est presque entiÃ¨rement Ã  l'intÃ©rieur ce qui en fait une activitÃ© parfaite pour les journÃ©es trop chaude, trop froide, pluvieuse ou simplement parce que vous voulez absolument ne pas rater ce joyau de l'architecture new-yorkaise. C'est une expÃ©rience parfaite pour tous les Ã¢ges.","grand central: coins secrets, artefacts bien cachs en plus de la perspective historique ; diffrents scnarios ; futur du quartier."
https://www.airbnb.com/experiences/3773041?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Hell Gate Walking Tour,36,5.0,1,"Delve into the treacherous Hell Gate portion of the East River, as seen from Randallâs Island (accessible on foot, by car, or by bicycle via the RFK Bridgeâfrom East Harlem, Astoria, and Port Morrisâor the Wards Island Bridge/103rd Street Footbridge from Manhattan.)    Main Features:    Find out about Hell Gateâs ship-swallowing whirlpool and the fate of the HMS Hussar.        Learn about the foiled Nazi plot to blow up Hell Gate Bridge.        Discover the passage of the Hell Gate islands from private properties to a fortress of psychiatric and detention facilities.        Hear about the Hell Gate Explosions and the General Slocum Disaster.        Peer at the jail complex of Rikers Island, the quarantine ruins of North Brother Island (once the home of Typhoid Mary), and the former pirate island of Mill Rock.",hell gate portion of east river; middleallâs island; astoria; port Morrisâor the Wards island bridge/103rd street footbridge ; foiled naz plot; psychiatric
https://www.airbnb.com/experiences/4449831?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Get A Taste Of Japan At Japan Village,36,5.0,1,"Itinerary: firstly, we will enter the Village from the main entrance into the food hall. We will explore the supermarket, which has Japanese desserts like mochi, as well as the famous wagyu beef. There is also an area full of jinja (shrines) as well as a bridge for taking pictures. Thereâs also an anime store where you can buy manga and anime figurines.  After the Village, we will explore the rest of Industry Cityâs rare vintage shops. For example, there is one shop that has foreign furniture; another has rare hats not available anywhere else. And after all that fun we will be hungry so weâll get some fine Japanese cuisine to fill our stomachs.      Note: event price does NOT include food. We will eat together in the same table with separate bills    Directions: D, N, R to 36th street     Letâs meet directly in front of the Japan Village building, called Building 4. Here we can introduce ourselves before finally entering another world.","village: food hall; supermarket; japanese desserts like mochi, wagyu beef ; industry city's rare vintage shops ; foreign furniture ;"
https://www.airbnb.com/experiences/4553917?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Fifth Avenue Gilded Age Mansions Tour,36,5.0,1,"Take a stroll along Fifth Avenue as it was during the Gilded Age when grand mansions of millionaires lined the illustrious street. As you revisit Millionaireâs Row, you will discover works of architecture lost to time and some that remain today with a new purpose. This tour will resurrect some of the magnificent mansions that no longer stand bringing those glamorous abodes back to life with stunning historical images and scintillating stories of the affairs that took place inside.",five avenue ; millionaireâs row ; architecture ; historical images ; scintillating stories ; palaces
https://www.airbnb.com/experiences/2481370?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Experience the hidden gems in New York like a Vip local,65,3.50,2,"As we know, lots of places in NYC are all about âwho you knowâ, hence, many places require reservations months out. Thanks to my years of experience in the industry, I have access to a lot of places which people do not know about/ places which are very hard to get into.    I love sharing my experiences with others, & seeing the sparks in their eyes when they experience what I did.   From hole-in-the-wall restaurants, Michellin Star restaurants, (all cuisines) hidden jazz and burlesque venues, pubs, rooftops, clubs and or house parties with people from all works of life, My goal is to educate, entertain and enlighten guests who are visiting the big apple, to relax and or be entertained. (even those who are based here)    You tell me what you feel like, and together with my knowledge of the industry, we will put together a plan for the night or day, within a scheduled time.   I will give recommendations based on what your needs are, these are unique ideas you can not find even on google.  If Iâm coming with you I will make sure each entry is seamless.   My goal is to make everyone feel like a local and not just a tourist. I make reservations on your behalf and make sure youâre treated with respect and like Royalty.   Thereâs no better feeling than getting your moneys worth, and respect.     Life is meant to be lived, so while we are here, I suggest we dance.",hole-in-the-wall restaurants ; kellin star restaurants ; hidden jazz and burlesque venues ; pubs ; rooftops ; clubs ; house parties
https://www.airbnb.com/experiences/4215483?location=New%20York%2C%20United%20States&currentTab=experience_tab&federatedSearchId=fb9a8f77-70b8-494c-b4ea-1cdcf3384bed&searchId=953c8476-6ec9-40cd-a3a1-43f478d23017&sectionId=598cadf6-c503-4a2f-8aea-9047eeb226a8,Vive Nueva York desde una perspectiva local,69,5.0,3,"Â¿QuÃ© harÃ¡s en tu prÃ³xima aventura? Descubre un enfoque Ãºnico con nosotros. Te llevamos a lugares fuera del radar turÃ­stico, donde los locales son los protagonistas. ConviÃ©rtete en un autÃ©ntico neoyorquino mientras exploras sus rincones favoritos y actividades cotidianas. Camina por las calles icÃ³nicas y experimenta la vida diaria de la ciudad que nunca duerme. Con nuestros recorridos a pie, experimentarÃ¡s la autenticidad de Nueva York mientras revelamos secretos que solo los lugareÃ±os conocen. Â¡Ãnete a nosotros para una experiencia inolvidable fuera de lo comÃºn!",tu pr3xima aventura? enfoque onico con nosotros.
