(2024-06-27 - 2024-06-30)
ID,House Name,Price per Night
1,1 room apartment without a kitchen right in the center,83 CHF 
2,Stay with Johannes,34 CHF 
3,Stay with Melanie,102 CHF 
4,Stay with Afrim,37 CHF 
5,Stay with Heinz,98 CHF 
6,Cozy furnished attic near HSG Uni & OLMA,144 CHF 
7,"Bright new apartment (1 BR, NR)",83 CHF 
8,Stay with Luca,62 CHF 
9,Stay with Katharina,51 CHF 
10,Leimathof Apartment type I,218 CHF 
11,"Private 2.5 room WHG with balcony, Mama Home W33",134 CHF 
12,Stay with Pia,75 CHF 
13,Studio Pfauen Appenzell,65 CHF 
14,Fantastic house near Lake Constance,111 CHF 
15,Charming apartment in the countryside yet central,116 CHF 
16,Large apartment with roof terrace and lake view,183 CHF 
17,Stay with Katrin,58 CHF 
18,Charming Vacation Rental,86 CHF 
19,Luxurious hotel room in the countryside,103 CHF 
20,Garden studio in Appenzellerhaus,77 CHF 
21,Beautiful studio surrounded by nature,119 CHF 
22,Modern attic apartment close HSG University & OLMA,148 CHF 
23,Stay with Edmond,77 CHF 
24,Studio above bakery,71 CHF 
25,Beautiful Art Nouveau apartment near Olma and University,231 CHF 
26,Ground floor studio in the center of the village,118 CHF 
27,Stay with Katharina,54 CHF 
28,Stay with Franziska,86 CHF 
29,"House with character, garden stocked and in the village",186 CHF 
30,Stay with Elisabeth,110 CHF 
31,Lovely studio,83 CHF 
32,Ferienwohnung  Rotenwies,163 CHF 
33,"YELLOW INN 7 near Uni, Olma, Hospital, FHS",146 CHF 
34,Leimathof attic apartment,264 CHF 
35,Central apartment on Lake Constance,134 CHF 
36,2 room apartment with mountain view,121 CHF 
37,Appenzeller City  Studio  Included Parking,103 CHF 
38,Stay with Maya,63 CHF 
39,Stay with Soheil,61 CHF 
40,Airy studio @sunehus.ch,123 CHF 
41,Stay with Anton Verena,81 CHF 
42,Stay with Stefan,71 CHF 
43,charming flat in a typical appenzellerhouse,86 CHF 
44,Apartment small but nice,88 CHF 
45,Stay with Ulrich,61 CHF 
46,Stay with Ulrich,47 CHF 
47,A bed in the basement/ storage room,38 CHF 
48,Stay with Andy,92 CHF 
49,Stay with Luca,60 CHF 
